"Deaths and crude death rate by sex and age 1841-2016                  "

"Year","Age","Number Total","Number Males","Number Females","Per 1,000 inhabitants Total","Per 1,000 inhabitants Males","Per 1,000 inhabitants Females"
"1841","1st year",622,330,292,293.7,312.8,274.7
"1841","1-4 years",103,51,52,21.3,21.1,21.6
"1841","5-9 years",33,18,15,4.5,5.0,4.1
"1841","10-14 years",19,9,10,2.9,2.7,3.0
"1841","15-19 years",19,13,6,3.7,5.2,2.3
"1841","20-24 years",21,13,8,5.2,6.5,3.9
"1841","25-29 years",28,19,9,8.6,12.3,5.3
"1841","30-34 years",39,21,18,9.9,11.4,8.6
"1841","35-39 years",34,17,17,9.3,10.0,8.7
"1841","40-44 years",60,31,29,13.7,15.0,12.5
"1841","45-49 years",47,25,22,14.5,17.0,12.4
"1841","50-54 years",41,24,17,16.2,20.5,12.5
"1841","55-59 years",28,11,17,21.8,19.7,23.4
"1841","60-64 years",55,24,31,36.4,40.3,33.9
"1841","65-69 years",76,29,47,52.8,51.3,53.8
"1841","70-74 years",94,31,63,80.7,66.4,90.3
"1841","75-79 years",59,22,37,83.0,81.0,84.3
"1841","80-84 years",63,24,39,176.7,177.1,176.5
"1841","85-89 years",19,5,14,192.9,137.0,225.8
"1841","90-94 years ",13,4,9,382.4,421.1,367.3
"1841","95 years and older",5,1,4,370.4,222.2,444.4
"1842","1st year",523,301,222,247.6,276.9,216.6
"1842","1-4 years",88,48,40,18.0,19.5,16.4
"1842","5-9 years",27,14,13,3.9,4.1,3.7
"1842","10-14 years",21,7,14,2.9,1.9,3.9
"1842","15-19 years",29,18,11,5.7,7.0,4.3
"1842","20-24 years",43,31,12,9.9,14.3,5.5
"1842","25-29 years",39,32,7,12.0,20.6,4.1
"1842","30-34 years",53,33,20,13.8,18.4,9.8
"1842","35-39 years",48,26,22,13.9,16.4,11.9
"1842","40-44 years",81,47,34,18.0,22.2,14.3
"1842","45-49 years",72,43,29,21.5,28.1,15.9
"1842","50-54 years",55,31,24,20.4,25.3,16.3
"1842","55-59 years",37,15,22,27.5,24.9,29.7
"1842","60-64 years",68,32,36,47.7,56.4,42.0
"1842","65-69 years",72,38,34,51.9,70.4,40.1
"1842","70-74 years",85,42,43,72.4,89.4,61.0
"1842","75-79 years",80,33,47,111.3,121.3,105.1
"1842","80-84 years",63,24,39,168.0,168.4,167.7
"1842","85-89 years",15,8,7,154.6,219.2,115.7
"1842","90-94 years ",5,2,3,166.7,210.5,146.3
"1842","95 years and older",6,2,4,413.8,444.4,400.0
"1843","1st year",870,491,379,435.9,475.3,393.6
"1843","1-4 years",145,77,68,28.0,29.9,26.1
"1843","5-9 years",30,17,13,4.6,5.3,3.9
"1843","10-14 years",40,22,18,5.2,5.7,4.8
"1843","15-19 years",44,26,18,8.6,10.2,7.1
"1843","20-24 years",78,48,30,17.0,20.9,13.1
"1843","25-29 years",50,32,18,14.9,19.8,10.3
"1843","30-34 years",82,43,39,22.8,25.8,20.2
"1843","35-39 years",109,59,50,31.8,37.1,27.2
"1843","40-44 years",171,88,83,39.4,43.4,35.9
"1843","45-49 years",152,72,80,44.0,45.3,43.0
"1843","50-54 years",180,88,92,65.8,71.9,60.9
"1843","55-59 years",129,65,64,90.0,100.4,81.5
"1843","60-64 years",170,71,99,133.9,138.4,130.8
"1843","65-69 years",207,65,142,162.0,130.8,181.9
"1843","70-74 years",253,92,161,231.2,210.8,244.7
"1843","75-79 years",232,90,142,363.4,366.6,361.3
"1843","80-84 years",146,45,101,430.7,334.6,493.9
"1843","85-89 years",47,14,33,562.9,459.0,622.6
"1843","90-94 years ",14,4,10,518.5,400.0,588.2
"1843","95 years and older",8,2,6,640.0,571.4,666.7
"1844","1st year",460,247,213,240.5,256.5,224.2
"1844","1-4 years",48,20,28,8.9,7.5,10.2
"1844","5-9 years",23,13,10,3.7,4.2,3.2
"1844","10-14 years",38,17,21,5.0,4.5,5.4
"1844","15-19 years",35,22,13,6.6,8.3,4.9
"1844","20-24 years",40,14,26,8.3,5.8,10.8
"1844","25-29 years",36,19,17,10.2,11.1,9.3
"1844","30-34 years",37,22,15,11.1,14.3,8.3
"1844","35-39 years",57,28,29,16.2,17.0,15.4
