Monthly measles cases in Iceland from April 1904 to January 1974,
,
time,cases
4/1/1904,1
5/1/1904,15
6/1/1904,91
7/1/1904,393
8/1/1904,196
9/1/1904,41
10/1/1904,58
11/1/1904,27
12/1/1904,
1/1/1905,
2/1/1905,
3/1/1905,
4/1/1905,
5/1/1905,
6/1/1905,
7/1/1905,
8/1/1905,
9/1/1905,
10/1/1905,
11/1/1905,
12/1/1905,
1/1/1906,
2/1/1906,
3/1/1906,
4/1/1906,
5/1/1906,
6/1/1906,
7/1/1906,
8/1/1906,
9/1/1906,
10/1/1906,
11/1/1906,
12/1/1906,
1/1/1907,
2/1/1907,
3/1/1907,
4/1/1907,
5/1/1907,1
6/1/1907,7
7/1/1907,114
8/1/1907,180
9/1/1907,506
10/1/1907,1894
11/1/1907,1818
12/1/1907,1973
1/1/1908,616
2/1/1908,166
3/1/1908,60
4/1/1908,25
5/1/1908,19
6/1/1908,0
7/1/1908,13
8/1/1908,6
9/1/1908,
10/1/1908,
11/1/1908,
12/1/1908,
1/1/1909,
2/1/1909,
3/1/1909,
4/1/1909,
5/1/1909,
6/1/1909,
7/1/1909,
8/1/1909,
9/1/1909,
10/1/1909,
11/1/1909,
12/1/1909,
1/1/1910,
2/1/1910,
3/1/1910,
4/1/1910,
5/1/1910,
6/1/1910,
7/1/1910,
8/1/1910,
9/1/1910,
10/1/1910,
11/1/1910,
12/1/1910,
1/1/1911,
2/1/1911,
3/1/1911,
4/1/1911,
5/1/1911,
6/1/1911,
7/1/1911,
8/1/1911,
9/1/1911,
10/1/1911,
11/1/1911,
12/1/1911,
1/1/1912,
2/1/1912,
3/1/1912,
4/1/1912,
5/1/1912,
6/1/1912,
7/1/1912,
8/1/1912,
9/1/1912,
10/1/1912,
11/1/1912,
12/1/1912,
1/1/1913,
2/1/1913,
3/1/1913,
4/1/1913,
5/1/1913,
6/1/1913,
7/1/1913,
8/1/1913,
9/1/1913,
10/1/1913,
11/1/1913,
12/1/1913,
1/1/1914,
2/1/1914,
3/1/1914,
4/1/1914,
5/1/1914,
6/1/1914,
7/1/1914,
8/1/1914,
9/1/1914,
10/1/1914,
11/1/1914,
12/1/1914,
1/1/1915,
2/1/1915,
3/1/1915,
4/1/1915,
5/1/1915,
6/1/1915,
7/1/1915,
8/1/1915,
9/1/1915,
10/1/1915,
11/1/1915,
12/1/1915,
1/1/1916,
2/1/1916,
3/1/1916,
4/1/1916,6
5/1/1916,305
6/1/1916,1244
7/1/1916,1679
8/1/1916,578
9/1/1916,226
10/1/1916,216
11/1/1916,175
12/1/1916,105
1/1/1917,120
2/1/1917,168
3/1/1917,72
4/1/1917,20
5/1/1917,30
6/1/1917,
7/1/1917,
8/1/1917,
9/1/1917,
10/1/1917,
11/1/1917,
12/1/1917,
1/1/1918,
2/1/1918,
3/1/1918,
4/1/1918,
5/1/1918,
6/1/1918,
7/1/1918,
8/1/1918,
9/1/1918,
10/1/1918,
11/1/1918,
12/1/1918,
1/1/1919,
2/1/1919,
3/1/1919,
4/1/1919,
5/1/1919,
6/1/1919,
7/1/1919,
8/1/1919,
9/1/1919,
10/1/1919,
11/1/1919,
12/1/1919,
1/1/1920,
2/1/1920,
3/1/1920,
4/1/1920,
5/1/1920,
6/1/1920,
7/1/1920,
8/1/1920,
9/1/1920,
10/1/1920,
11/1/1920,
12/1/1920,
1/1/1921,
2/1/1921,
3/1/1921,
4/1/1921,
5/1/1921,
6/1/1921,
7/1/1921,
8/1/1921,
9/1/1921,
10/1/1921,
11/1/1921,
12/1/1921,
1/1/1922,
2/1/1922,
3/1/1922,
4/1/1922,
5/1/1922,
6/1/1922,
7/1/1922,
8/1/1922,
9/1/1922,
10/1/1922,
11/1/1922,
12/1/1922,
1/1/1923,
2/1/1923,
3/1/1923,
4/1/1923,
5/1/1923,
6/1/1923,
7/1/1923,
8/1/1923,
9/1/1923,
10/1/1923,
11/1/1923,
12/1/1923,
1/1/1924,
2/1/1924,
3/1/1924,
4/1/1924,
5/1/1924,
6/1/1924,
7/1/1924,102
8/1/1924,201
9/1/1924,221
10/1/1924,646
11/1/1924,1391
12/1/1924,1241
1/1/1925,736
2/1/1925,374
3/1/1925,195
4/1/1925,59
5/1/1925,42
6/1/1925,21
7/1/1925,20
8/1/1925,37
9/1/1925,39
10/1/1925,7
11/1/1925,28
12/1/1925,85
1/1/1926,241
2/1/1926,209
3/1/1926,91
4/1/1926,62
5/1/1926,45
6/1/1926,22
7/1/1926,12
8/1/1926,3
9/1/1926,
10/1/1926,
11/1/1926,
12/1/1926,
1/1/1927,
2/1/1927,
3/1/1927,
4/1/1927,
5/1/1927,
6/1/1927,
7/1/1927,
8/1/1927,
9/1/1927,
10/1/1927,
